user_id,treatment,channel,audience_type,country,age_group,device_type,email_subscriber,n_prior_purchases,n_organic_sessions_30d,days_since_last_visit,loyalty_tier,category_affinity,frequency,spend_eur,converted
C_02983,0,,,GB,45+,mobile,1,4,1,15,none,haircare,0,0.0,0
T02_01570,1,meta,prospecting_lal_1pct,FR,35-44,mobile,0,0,2,2,none,skincare,6,0.06,0
C_01976,0,,,FR,18-24,mobile,1,2,2,5,none,skincare,0,0.0,0
C_02698,0,,,DE,25-34,mobile,0,1,1,38,none,skincare,0,0.0,0
C_00829,0,,,GB,25-34,mobile,0,4,2,3,none,haircare,0,0.0,0
C_00419,0,,,FR,25-34,mobile,0,0,1,11,none,makeup,0,0.0,0
T00_00960,1,tiktok,prospecting_broad_1824,GB,25-34,desktop,0,0,0,40,none,skincare,7,0.05,0
C_04744,0,,,DE,25-34,desktop,1,7,6,54,none,makeup,0,0.0,0
T07_01684,1,meta,retargeting_warm,DE,45+,mobile,0,9,7,1,none,makeup,11,0.11,0
T08_01174,1,meta,retargeting_hot,FR,25-34,mobile,0,3,2,7,none,haircare,10,0.11,0
C_02782,0,,,DE,25-34,desktop,0,0,1,13,none,haircare,0,0.0,0
C_04196,0,,,FR,45+,desktop,0,0,2,1,silver,makeup,0,0.0,0
T06_00391,1,tiktok,retargeting,GB,18-24,mobile,1,2,5,1,silver,makeup,13,0.12,1
T08_00409,1,meta,retargeting_hot,FR,35-44,desktop,0,1,6,14,none,skincare,15,0.16,1
C_04059,0,,,FR,35-44,desktop,0,1,2,6,none,fragrance,0,0.0,0
C_04928,0,,,FR,35-44,mobile,0,5,3,23,silver,haircare,0,0.0,0
T05_00789,1,youtube,prospecting_brand_safety,GB,25-34,desktop,1,3,3,10,none,skincare,3,0.04,0
C_01753,0,,,GB,35-44,desktop,0,0,1,10,none,skincare,0,0.0,0
T03_00215,1,meta,prospecting_lal_3_5pct,GB,25-34,desktop,0,1,1,5,silver,fragrance,2,0.02,0
T02_00536,1,meta,prospecting_lal_1pct,FR,35-44,mobile,0,2,1,34,none,fragrance,4,0.04,0
T09_00540,1,youtube,retargeting,DE,45+,mobile,1,8,5,12,gold,fragrance,9,0.09,0
C_05494,0,,,DE,35-44,desktop,0,4,2,15,none,makeup,0,0.0,0
T04_00070,1,meta,prospecting_broad,GB,18-24,mobile,0,2,0,64,silver,skincare,3,0.02,0
T00_01419,1,tiktok,prospecting_broad_1824,FR,45+,mobile,0,1,3,23,none,haircare,2,0.02,0
T04_00796,1,meta,prospecting_broad,GB,35-44,mobile,0,13,2,67,none,makeup,2,0.02,0
T08_00653,1,meta,retargeting_hot,GB,35-44,tablet,0,3,10,2,none,haircare,8,0.09,0
C_03143,0,,,GB,35-44,desktop,1,0,1,12,silver,fragrance,0,0.0,0
C_04617,0,,,GB,18-24,mobile,0,0,5,17,none,haircare,0,0.0,0
C_01568,0,,,DE,35-44,mobile,1,1,1,41,none,makeup,0,0.0,0
T00_00980,1,tiktok,prospecting_broad_1824,DE,25-34,desktop,0,4,3,20,gold,makeup,3,0.02,0
T02_00295,1,meta,prospecting_lal_1pct,FR,45+,mobile,0,4,1,13,none,skincare,2,0.02,0
T06_00550,1,tiktok,retargeting,GB,35-44,mobile,1,7,8,1,silver,makeup,7,0.07,0
T08_01429,1,meta,retargeting_hot,GB,25-34,mobile,1,5,7,13,gold,fragrance,18,0.2,0
T07_00420,1,meta,retargeting_warm,GB,45+,mobile,0,10,1,3,none,makeup,18,0.18,0
T09_00059,1,youtube,retargeting,FR,18-24,mobile,0,11,6,12,gold,haircare,11,0.1,1
C_05830,0,,,DE,18-24,desktop,0,0,6,15,none,haircare,0,0.0,0
T09_00981,1,youtube,retargeting,FR,45+,mobile,0,1,7,17,none,skincare,15,0.14,1
T09_01170,1,youtube,retargeting,GB,25-34,desktop,0,6,3,4,silver,skincare,5,0.05,0
T05_00088,1,youtube,prospecting_brand_safety,GB,35-44,desktop,0,2,0,13,gold,fragrance,3,0.03,0
T03_00503,1,meta,prospecting_lal_3_5pct,DE,25-34,mobile,1,3,2,16,silver,makeup,7,0.06,0
T04_00782,1,meta,prospecting_broad,FR,45+,desktop,1,0,1,23,none,haircare,4,0.03,0
T08_00559,1,meta,retargeting_hot,FR,35-44,mobile,0,12,9,3,none,haircare,19,0.22,0
T06_00404,1,tiktok,retargeting,DE,18-24,desktop,0,9,3,10,none,haircare,10,0.09,0
C_03397,0,,,GB,18-24,mobile,0,0,0,10,gold,makeup,0,0.0,0
C_04524,0,,,DE,45+,mobile,0,4,1,32,none,makeup,0,0.0,0
T00_01346,1,tiktok,prospecting_broad_1824,GB,45+,mobile,1,1,0,11,none,fragrance,6,0.05,0
C_00124,0,,,FR,35-44,mobile,0,5,1,19,silver,fragrance,0,0.0,0
T09_01092,1,youtube,retargeting,GB,35-44,desktop,1,7,8,24,silver,skincare,16,0.16,0
C_02455,0,,,FR,45+,mobile,0,0,1,18,silver,haircare,0,0.0,0
C_01001,0,,,DE,45+,desktop,0,0,2,5,silver,haircare,0,0.0,0
C_05621,0,,,FR,35-44,desktop,0,0,5,11,gold,makeup,0,0.0,0
T01_00640,1,tiktok,prospecting_broad_2534,FR,18-24,mobile,0,0,3,12,none,makeup,5,0.04,0
C_02304,0,,,DE,25-34,mobile,0,4,1,6,none,skincare,0,0.0,0
T03_00005,1,meta,prospecting_lal_3_5pct,FR,35-44,desktop,1,3,3,12,gold,skincare,5,0.05,0
T03_00180,1,meta,prospecting_lal_3_5pct,GB,18-24,mobile,0,0,2,19,none,skincare,5,0.04,0
T08_00924,1,meta,retargeting_hot,DE,45+,desktop,0,3,8,1,none,makeup,15,0.19,0
T03_00466,1,meta,prospecting_lal_3_5pct,DE,45+,desktop,0,1,3,32,none,skincare,5,0.05,0
T02_00224,1,meta,prospecting_lal_1pct,DE,35-44,desktop,0,0,0,4,none,skincare,6,0.05,0
T09_00605,1,youtube,retargeting,GB,35-44,mobile,1,10,11,17,gold,makeup,6,0.06,0
C_03615,0,,,DE,35-44,desktop,0,0,1,47,gold,makeup,0,0.0,0
T08_00858,1,meta,retargeting_hot,DE,25-34,mobile,1,6,7,49,none,fragrance,22,0.24,1
T02_00057,1,meta,prospecting_lal_1pct,DE,45+,mobile,0,0,2,14,none,fragrance,6,0.06,0
T09_01038,1,youtube,retargeting,FR,18-24,desktop,0,12,7,31,none,skincare,9,0.1,0
T07_01671,1,meta,retargeting_warm,FR,18-24,mobile,0,8,6,9,none,skincare,15,0.14,0
T03_00106,1,meta,prospecting_lal_3_5pct,FR,25-34,desktop,1,2,1,10,none,fragrance,2,0.02,0
C_06647,0,,,FR,18-24,desktop,0,3,3,8,none,skincare,0,0.0,0
T09_00763,1,youtube,retargeting,GB,35-44,desktop,1,5,8,6,silver,makeup,7,0.08,0
T09_00826,1,youtube,retargeting,DE,25-34,desktop,0,16,8,13,silver,skincare,12,0.14,0
T07_01430,1,meta,retargeting_warm,GB,45+,mobile,0,3,9,8,silver,skincare,9,0.09,0
T08_00629,1,meta,retargeting_hot,DE,35-44,tablet,0,9,9,4,none,fragrance,27,0.35,1
T06_00408,1,tiktok,retargeting,FR,45+,mobile,0,6,7,3,silver,makeup,7,0.07,0
T02_01082,1,meta,prospecting_lal_1pct,FR,35-44,mobile,0,2,5,69,none,haircare,5,0.04,0
T07_00422,1,meta,retargeting_warm,GB,35-44,mobile,1,12,8,7,silver,fragrance,17,0.19,0
T02_01071,1,meta,prospecting_lal_1pct,FR,35-44,desktop,0,2,1,29,none,skincare,5,0.04,0
T03_00687,1,meta,prospecting_lal_3_5pct,GB,25-34,desktop,0,0,0,82,none,makeup,5,0.05,0
T06_00276,1,tiktok,retargeting,FR,18-24,desktop,0,1,8,16,platinum,skincare,11,0.12,0
T07_01145,1,meta,retargeting_warm,DE,45+,desktop,0,4,10,2,none,skincare,8,0.09,0
T01_00821,1,tiktok,prospecting_broad_2534,DE,35-44,desktop,0,1,1,9,none,skincare,3,0.03,0
T06_00503,1,tiktok,retargeting,FR,35-44,mobile,0,10,9,2,none,fragrance,6,0.06,0
T04_00391,1,meta,prospecting_broad,GB,35-44,mobile,0,2,3,1,none,fragrance,1,0.01,0
T09_00441,1,youtube,retargeting,DE,25-34,mobile,0,0,5,1,none,skincare,9,0.09,0
C_02537,0,,,GB,18-24,desktop,0,1,2,17,none,haircare,0,0.0,0
T07_01577,1,meta,retargeting_warm,GB,25-34,desktop,1,6,4,8,none,makeup,6,0.06,1
T09_00433,1,youtube,retargeting,DE,18-24,desktop,1,3,4,15,gold,fragrance,17,0.16,0
T03_00907,1,meta,prospecting_lal_3_5pct,GB,45+,mobile,1,2,4,4,none,makeup,4,0.04,0
T08_01459,1,meta,retargeting_hot,GB,45+,desktop,1,4,2,1,gold,haircare,22,0.22,1
T09_00785,1,youtube,retargeting,GB,25-34,mobile,0,7,6,11,none,makeup,5,0.06,0
T07_01090,1,meta,retargeting_warm,GB,35-44,desktop,1,6,6,2,none,haircare,6,0.05,0
T02_01487,1,meta,prospecting_lal_1pct,GB,35-44,desktop,0,7,2,58,silver,fragrance,7,0.06,0
C_03090,0,,,GB,18-24,desktop,0,0,1,13,platinum,haircare,0,0.0,0
C_04232,0,,,FR,18-24,mobile,0,0,3,33,none,makeup,0,0.0,0
C_04443,0,,,GB,18-24,mobile,1,4,3,2,none,haircare,0,0.0,0
C_00656,0,,,DE,35-44,mobile,0,0,2,5,silver,haircare,0,0.0,0
C_02645,0,,,FR,18-24,desktop,0,0,2,1,none,fragrance,0,0.0,0
T02_00242,1,meta,prospecting_lal_1pct,GB,45+,desktop,0,3,0,23,gold,skincare,1,0.01,0
T02_00810,1,meta,prospecting_lal_1pct,GB,25-34,mobile,1,1,0,1,none,haircare,5,0.05,0
T07_00776,1,meta,retargeting_warm,FR,25-34,mobile,0,3,10,18,none,fragrance,14,0.15,0
C_04410,0,,,GB,45+,tablet,0,1,6,1,silver,fragrance,0,0.0,0
C_02155,0,,,GB,35-44,desktop,0,0,0,4,none,skincare,0,0.0,0
C_04276,0,,,GB,25-34,mobile,0,2,4,8,none,fragrance,0,0.0,0
T05_00407,1,youtube,prospecting_brand_safety,DE,18-24,mobile,1,1,2,27,silver,makeup,2,0.02,0
T01_00489,1,tiktok,prospecting_broad_2534,FR,45+,tablet,0,4,3,3,silver,haircare,4,0.04,0
T03_00632,1,meta,prospecting_lal_3_5pct,GB,25-34,mobile,0,1,0,18,silver,haircare,1,0.01,0
T01_00633,1,tiktok,prospecting_broad_2534,DE,45+,tablet,0,2,3,28,none,makeup,3,0.03,0
T00_00878,1,tiktok,prospecting_broad_1824,FR,35-44,desktop,0,4,0,11,none,makeup,3,0.02,0
C_06075,0,,,GB,45+,mobile,1,7,5,1,none,fragrance,0,0.0,0
T09_01408,1,youtube,retargeting,GB,35-44,mobile,0,3,10,12,silver,haircare,6,0.06,1
T06_00114,1,tiktok,retargeting,GB,45+,mobile,1,8,7,13,gold,skincare,6,0.06,0
T04_00296,1,meta,prospecting_broad,GB,25-34,mobile,0,0,2,1,none,skincare,4,0.03,0
T09_00497,1,youtube,retargeting,DE,18-24,mobile,1,11,2,2,silver,skincare,12,0.13,0
T05_00391,1,youtube,prospecting_brand_safety,DE,35-44,tablet,0,4,2,7,none,skincare,4,0.04,0
T05_00122,1,youtube,prospecting_brand_safety,DE,25-34,desktop,0,3,3,102,gold,makeup,3,0.04,0
T08_00342,1,meta,retargeting_hot,FR,18-24,desktop,1,10,7,20,platinum,skincare,22,0.29,0
T07_01802,1,meta,retargeting_warm,DE,25-34,mobile,1,4,9,33,silver,fragrance,16,0.17,1
C_06073,0,,,FR,45+,desktop,0,1,3,37,silver,haircare,0,0.0,0
T03_00325,1,meta,prospecting_lal_3_5pct,DE,25-34,desktop,0,0,2,1,none,makeup,3,0.03,0
T07_00682,1,meta,retargeting_warm,GB,45+,desktop,1,9,9,11,silver,skincare,5,0.05,0
T03_00363,1,meta,prospecting_lal_3_5pct,FR,35-44,desktop,0,1,0,3,silver,makeup,4,0.03,0
C_01163,0,,,DE,25-34,mobile,1,3,3,5,silver,skincare,0,0.0,0
T00_00385,1,tiktok,prospecting_broad_1824,GB,18-24,desktop,1,0,3,1,none,haircare,3,0.02,0
T02_01698,1,meta,prospecting_lal_1pct,GB,35-44,desktop,0,6,2,1,silver,makeup,4,0.04,0
T03_01041,1,meta,prospecting_lal_3_5pct,GB,45+,mobile,0,0,4,5,gold,makeup,4,0.03,0
T01_00716,1,tiktok,prospecting_broad_2534,GB,25-34,mobile,0,0,5,35,gold,haircare,2,0.01,0
C_01990,0,,,DE,35-44,mobile,1,1,2,22,silver,makeup,0,0.0,0
T09_01053,1,youtube,retargeting,FR,25-34,mobile,1,6,5,3,silver,haircare,9,0.09,0
T00_01077,1,tiktok,prospecting_broad_1824,GB,45+,mobile,1,1,1,15,gold,makeup,5,0.04,0
T04_00873,1,meta,prospecting_broad,DE,25-34,mobile,0,3,2,1,platinum,haircare,1,0.01,0
T04_00520,1,meta,prospecting_broad,FR,25-34,mobile,0,4,0,5,none,makeup,4,0.03,0
C_05512,0,,,GB,45+,desktop,0,5,4,3,silver,haircare,0,0.0,0
C_06717,0,,,FR,35-44,mobile,1,19,6,31,gold,makeup,0,0.0,0
C_00363,0,,,GB,18-24,mobile,1,1,2,38,silver,skincare,0,0.0,0
T06_00909,1,tiktok,retargeting,FR,18-24,desktop,1,3,5,6,gold,makeup,7,0.06,0
C_04020,0,,,GB,45+,mobile,0,1,0,8,platinum,fragrance,0,0.0,0
T07_01363,1,meta,retargeting_warm,DE,35-44,mobile,0,16,10,3,none,makeup,1,0.01,0
C_06094,0,,,FR,45+,mobile,0,3,1,35,none,haircare,0,0.0,0
C_00355,0,,,FR,45+,desktop,1,3,3,28,gold,makeup,0,0.0,0
C_05631,0,,,GB,45+,desktop,1,7,2,11,none,makeup,0,0.0,0
T02_00360,1,meta,prospecting_lal_1pct,DE,25-34,mobile,0,2,3,11,platinum,skincare,7,0.06,0
T09_01210,1,youtube,retargeting,GB,25-34,mobile,1,1,8,9,none,makeup,4,0.04,0
T06_00559,1,tiktok,retargeting,FR,25-34,desktop,1,9,16,1,silver,fragrance,8,0.07,0
T00_00812,1,tiktok,prospecting_broad_1824,GB,35-44,mobile,0,0,1,2,none,haircare,5,0.04,0
T08_01104,1,meta,retargeting_hot,GB,18-24,mobile,1,14,7,7,silver,haircare,7,0.08,0
T03_00831,1,meta,prospecting_lal_3_5pct,DE,25-34,tablet,0,1,2,5,gold,makeup,7,0.05,0
T07_00330,1,meta,retargeting_warm,GB,35-44,desktop,1,9,8,2,none,haircare,7,0.06,0
T06_00271,1,tiktok,retargeting,DE,35-44,mobile,1,3,10,15,none,skincare,5,0.04,0
C_03476,0,,,FR,25-34,mobile,0,1,3,1,gold,skincare,0,0.0,0
T00_00936,1,tiktok,prospecting_broad_1824,GB,18-24,mobile,0,2,1,1,none,skincare,7,0.05,0
T09_00384,1,youtube,retargeting,GB,18-24,desktop,1,1,8,6,silver,makeup,11,0.11,0
T01_00213,1,tiktok,prospecting_broad_2534,FR,25-34,desktop,0,6,3,1,none,haircare,4,0.03,0
T04_00803,1,meta,prospecting_broad,GB,45+,desktop,1,1,1,10,silver,haircare,2,0.02,0
T07_01279,1,meta,retargeting_warm,GB,25-34,desktop,1,5,13,9,gold,skincare,13,0.14,0
T09_00946,1,youtube,retargeting,FR,45+,desktop,0,1,5,10,gold,skincare,8,0.09,0
C_02484,0,,,FR,45+,mobile,0,3,1,10,gold,haircare,0,0.0,0
T04_00379,1,meta,prospecting_broad,DE,18-24,desktop,1,1,1,3,silver,fragrance,5,0.03,0
T09_00685,1,youtube,retargeting,FR,35-44,mobile,0,6,4,1,silver,fragrance,7,0.09,0
T01_00742,1,tiktok,prospecting_broad_2534,GB,45+,mobile,1,2,2,5,none,makeup,3,0.03,0
C_02757,0,,,FR,35-44,desktop,0,1,2,7,silver,fragrance,0,0.0,1
T03_00389,1,meta,prospecting_lal_3_5pct,GB,18-24,mobile,0,1,0,29,none,fragrance,5,0.04,0
T08_00019,1,meta,retargeting_hot,DE,35-44,mobile,1,3,7,2,none,haircare,11,0.12,1
T03_00803,1,meta,prospecting_lal_3_5pct,GB,18-24,desktop,0,0,0,102,silver,haircare,4,0.03,0
C_00480,0,,,GB,45+,desktop,0,1,2,12,silver,skincare,0,0.0,0
T03_00441,1,meta,prospecting_lal_3_5pct,FR,25-34,mobile,0,3,1,3,silver,haircare,4,0.04,0
T01_00125,1,tiktok,prospecting_broad_2534,DE,45+,mobile,1,3,4,11,silver,skincare,3,0.02,0
C_04395,0,,,FR,25-34,mobile,0,1,1,22,none,fragrance,0,0.0,0
C_03863,0,,,FR,18-24,mobile,0,0,1,1,none,fragrance,0,0.0,0
T07_00033,1,meta,retargeting_warm,FR,45+,mobile,0,13,7,10,gold,haircare,7,0.07,0
T00_01092,1,tiktok,prospecting_broad_1824,DE,35-44,mobile,1,4,1,9,gold,skincare,3,0.02,0
C_00884,0,,,FR,25-34,mobile,1,3,1,24,none,skincare,0,0.0,0
T05_00015,1,youtube,prospecting_brand_safety,GB,45+,mobile,1,2,2,18,none,skincare,3,0.03,0
T07_00832,1,meta,retargeting_warm,DE,25-34,mobile,1,13,2,1,silver,haircare,14,0.16,0
T00_00351,1,tiktok,prospecting_broad_1824,FR,45+,mobile,1,2,0,32,silver,fragrance,3,0.03,0
C_01782,0,,,FR,25-34,desktop,0,5,1,4,none,skincare,0,0.0,0
T01_00051,1,tiktok,prospecting_broad_2534,DE,35-44,desktop,1,0,2,3,none,haircare,1,0.01,0
C_00591,0,,,FR,35-44,mobile,0,5,2,17,none,fragrance,0,0.0,0
C_02215,0,,,FR,35-44,mobile,0,6,0,5,silver,makeup,0,0.0,0
T08_01451,1,meta,retargeting_hot,DE,45+,tablet,0,2,3,3,none,haircare,11,0.12,0
T00_00218,1,tiktok,prospecting_broad_1824,GB,25-34,desktop,0,3,2,7,silver,skincare,4,0.03,0
T05_00517,1,youtube,prospecting_brand_safety,DE,25-34,desktop,0,1,3,10,silver,skincare,1,0.01,0
T03_01053,1,meta,prospecting_lal_3_5pct,GB,25-34,mobile,0,2,1,2,silver,makeup,6,0.05,0
C_02729,0,,,FR,45+,mobile,0,1,1,4,platinum,fragrance,0,0.0,0
C_00043,0,,,DE,25-34,mobile,0,0,2,6,platinum,fragrance,0,0.0,0
T00_01453,1,tiktok,prospecting_broad_1824,GB,45+,desktop,0,0,0,10,none,haircare,2,0.01,0
C_01932,0,,,FR,25-34,mobile,0,0,2,75,none,haircare,0,0.0,0
T03_00436,1,meta,prospecting_lal_3_5pct,FR,18-24,mobile,0,2,2,14,none,skincare,5,0.04,0
T02_00326,1,meta,prospecting_lal_1pct,DE,35-44,desktop,0,2,1,37,none,fragrance,7,0.06,0
T06_00723,1,tiktok,retargeting,GB,25-34,mobile,0,12,4,34,none,skincare,2,0.02,0
T03_00669,1,meta,prospecting_lal_3_5pct,FR,45+,mobile,1,1,2,9,none,makeup,2,0.02,0
T00_01182,1,tiktok,prospecting_broad_1824,GB,18-24,desktop,0,1,4,1,none,fragrance,2,0.02,0
T07_01855,1,meta,retargeting_warm,FR,18-24,mobile,1,4,3,1,gold,skincare,12,0.12,0
T02_01459,1,meta,prospecting_lal_1pct,DE,45+,desktop,0,4,2,10,none,haircare,5,0.05,1
T02_00701,1,meta,prospecting_lal_1pct,FR,45+,desktop,0,2,4,40,gold,skincare,1,0.01,0
C_01480,0,,,DE,25-34,mobile,0,1,4,14,none,makeup,0,0.0,0
C_06826,0,,,FR,45+,desktop,0,9,7,33,none,haircare,0,0.0,0
T07_01443,1,meta,retargeting_warm,GB,25-34,mobile,0,7,9,25,silver,fragrance,9,0.1,0
T00_01006,1,tiktok,prospecting_broad_1824,FR,35-44,desktop,1,0,2,2,none,skincare,2,0.02,0
T01_00846,1,tiktok,prospecting_broad_2534,GB,35-44,desktop,1,1,4,21,silver,skincare,5,0.04,0
T08_00556,1,meta,retargeting_hot,FR,25-34,mobile,0,11,5,2,gold,makeup,17,0.22,0
C_06523,0,,,GB,18-24,mobile,1,3,12,1,none,fragrance,0,0.0,0
C_04725,0,,,DE,25-34,desktop,1,1,3,35,none,fragrance,0,0.0,0
T04_00330,1,meta,prospecting_broad,GB,35-44,desktop,0,0,1,1,silver,makeup,3,0.02,0
T09_01099,1,youtube,retargeting,FR,25-34,mobile,1,2,9,1,gold,skincare,16,0.18,0
C_01583,0,,,FR,35-44,mobile,0,1,0,1,none,fragrance,0,0.0,0
C_06257,0,,,GB,35-44,mobile,1,1,2,2,silver,makeup,0,0.0,0
T09_00300,1,youtube,retargeting,DE,35-44,desktop,1,5,6,11,none,makeup,9,0.09,0
T00_01027,1,tiktok,prospecting_broad_1824,DE,18-24,desktop,1,1,3,9,none,skincare,2,0.01,0
T02_01581,1,meta,prospecting_lal_1pct,GB,18-24,mobile,0,0,2,12,none,fragrance,6,0.06,0
C_05572,0,,,FR,45+,desktop,0,3,3,12,none,skincare,0,0.0,0
C_01652,0,,,GB,25-34,mobile,0,1,1,17,none,haircare,0,0.0,0
T05_00354,1,youtube,prospecting_brand_safety,DE,18-24,desktop,0,2,3,5,none,makeup,4,0.06,0
C_02783,0,,,GB,45+,mobile,0,2,3,5,gold,haircare,0,0.0,0
C_04648,0,,,GB,35-44,desktop,1,13,2,13,none,fragrance,0,0.0,0
T03_00318,1,meta,prospecting_lal_3_5pct,GB,45+,mobile,0,0,3,28,none,skincare,1,0.01,0
T08_00296,1,meta,retargeting_hot,GB,18-24,desktop,1,2,10,5,none,haircare,10,0.12,0
C_00670,0,,,FR,18-24,mobile,1,0,0,1,silver,skincare,0,0.0,0
C_01046,0,,,DE,45+,mobile,1,3,0,8,silver,haircare,0,0.0,0
T01_00483,1,tiktok,prospecting_broad_2534,DE,35-44,mobile,0,0,1,15,none,makeup,1,0.01,0
C_06874,0,,,GB,25-34,mobile,1,4,9,23,silver,makeup,0,0.0,1
T01_00120,1,tiktok,prospecting_broad_2534,DE,18-24,mobile,0,0,0,12,silver,skincare,3,0.02,0
T07_01495,1,meta,retargeting_warm,GB,25-34,mobile,1,2,11,1,silver,haircare,12,0.14,1
T08_00863,1,meta,retargeting_hot,GB,35-44,desktop,1,7,6,3,silver,skincare,11,0.14,0
T03_00029,1,meta,prospecting_lal_3_5pct,FR,35-44,mobile,0,3,3,22,none,haircare,2,0.02,0
T09_00518,1,youtube,retargeting,GB,45+,desktop,1,1,5,2,none,fragrance,13,0.14,0
T05_00659,1,youtube,prospecting_brand_safety,GB,25-34,desktop,1,3,1,10,none,fragrance,6,0.06,0
C_05821,0,,,DE,25-34,desktop,0,4,2,8,silver,makeup,0,0.0,0
T07_00365,1,meta,retargeting_warm,FR,45+,desktop,1,0,7,1,silver,makeup,11,0.12,0
C_02974,0,,,FR,45+,desktop,1,0,3,33,none,haircare,0,0.0,0
